epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,251.825,0.73473,0.66029,1,0.79959,0.0701765,0.00331373,0.00331373
2,536.228,0.71233,0.52059,1,1.78144,0.0400668,0.00653738,0.00653738
3,827.8,0.8139,0.65441,1,0.85179,0.00984712,0.00965104,0.00965104
4,1115.3,0.84137,0.63971,1,0.82756,0.009505,0.009505,0.009505
5,1403.54,0.67962,0.78824,1,0.58759,0.00934,0.00934,0.00934
6,1693.83,0.68821,0.72353,1,0.61539,0.009175,0.009175,0.009175
7,1977.96,0.6382,0.67794,1,0.83411,0.00901,0.00901,0.00901
8,2257.54,0.58335,0.79118,1,0.54228,0.008845,0.008845,0.008845
9,2535.07,0.57373,0.84412,1,0.42874,0.00868,0.00868,0.00868
10,2808.51,0.53806,0.78676,1,0.51813,0.008515,0.008515,0.008515
11,3087.71,0.51111,0.81618,1,0.47408,0.00835,0.00835,0.00835
12,3377.79,0.50064,0.86618,1,0.39675,0.008185,0.008185,0.008185
13,3665.43,0.52694,0.85147,1,0.40427,0.00802,0.00802,0.00802
14,3945.7,0.54656,0.82941,1,0.44982,0.007855,0.007855,0.007855
15,4234.29,0.50083,0.64118,1,0.77336,0.00769,0.00769,0.00769
16,4512.59,0.48797,0.85735,1,0.39694,0.007525,0.007525,0.007525
17,4779.99,0.44719,0.85147,1,0.41737,0.00736,0.00736,0.00736
18,5063.51,0.42363,0.64559,1,0.59686,0.007195,0.007195,0.007195
19,5344.91,0.43898,0.86324,1,0.37732,0.00703,0.00703,0.00703
20,5619.41,0.40784,0.87794,1,0.36747,0.006865,0.006865,0.006865
21,5898.79,0.44278,0.88088,1,0.36565,0.0067,0.0067,0.0067
22,6181.8,0.42673,0.91618,1,0.34,0.006535,0.006535,0.006535
23,6443.66,0.41563,0.88971,1,0.32995,0.00637,0.00637,0.00637
24,6703.63,0.39077,0.91324,1,0.27513,0.006205,0.006205,0.006205
25,6962.28,0.369,0.875,1,0.34031,0.00604,0.00604,0.00604
26,7228.56,0.35811,0.90882,1,0.28161,0.005875,0.005875,0.005875
27,7496.53,0.44544,0.85441,1,0.41013,0.00571,0.00571,0.00571
28,7762.17,0.39356,0.89265,1,0.30242,0.005545,0.005545,0.005545
29,8033.27,0.37399,0.90294,1,0.2951,0.00538,0.00538,0.00538
30,8302.21,0.33194,0.82941,1,0.3959,0.005215,0.005215,0.005215
31,8577.73,0.33218,0.88971,1,0.31665,0.00505,0.00505,0.00505
32,8846.53,0.34085,0.90441,1,0.25899,0.004885,0.004885,0.004885
33,9121.23,0.34115,0.86471,1,0.37568,0.00472,0.00472,0.00472
34,9395.86,0.35275,0.90735,1,0.3017,0.004555,0.004555,0.004555
35,9670.14,0.34744,0.90441,1,0.30556,0.00439,0.00439,0.00439
36,9942.93,0.31532,0.91912,1,0.23658,0.004225,0.004225,0.004225
37,10218.8,0.27858,0.87353,1,0.34532,0.00406,0.00406,0.00406
38,10492,0.3013,0.90588,1,0.23581,0.003895,0.003895,0.003895
39,10772.9,0.30376,0.91765,1,0.2322,0.00373,0.00373,0.00373
40,11052.6,0.30832,0.91324,1,0.22976,0.003565,0.003565,0.003565
41,11334.7,0.29659,0.91912,1,0.21218,0.0034,0.0034,0.0034
42,11613.8,0.27698,0.91029,1,0.2302,0.003235,0.003235,0.003235
43,11890,0.25688,0.91618,1,0.23313,0.00307,0.00307,0.00307
44,12167.4,0.29169,0.91471,1,0.23345,0.002905,0.002905,0.002905
45,12446.3,0.27461,0.92059,1,0.22171,0.00274,0.00274,0.00274
46,12730.4,0.28587,0.91765,1,0.24235,0.002575,0.002575,0.002575
47,13010.5,0.24345,0.91324,1,0.23219,0.00241,0.00241,0.00241
48,13295.2,0.25536,0.92794,1,0.19846,0.002245,0.002245,0.002245
49,13579.3,0.24522,0.93235,1,0.20655,0.00208,0.00208,0.00208
50,13848.9,0.24702,0.93971,1,0.1961,0.001915,0.001915,0.001915
51,14134.8,0.23591,0.94265,1,0.17932,0.00175,0.00175,0.00175
52,14423.3,0.23611,0.93235,1,0.19758,0.001585,0.001585,0.001585
53,14706.6,0.21429,0.93235,1,0.19023,0.00142,0.00142,0.00142
54,14990.4,0.2258,0.92941,1,0.2019,0.001255,0.001255,0.001255
55,15271.8,0.2224,0.93382,1,0.18373,0.00109,0.00109,0.00109
56,15559.6,0.22838,0.93529,1,0.18402,0.000925,0.000925,0.000925
57,15842,0.21234,0.92647,1,0.18566,0.00076,0.00076,0.00076
58,16134.1,0.22221,0.92647,1,0.19168,0.000595,0.000595,0.000595
59,16421.7,0.20532,0.93088,1,0.17335,0.00043,0.00043,0.00043
60,16710,0.19657,0.93824,1,0.16813,0.000265,0.000265,0.000265
